课程号	课程名称	开课学院	余量	容量	待定(本专业/所有)	本账号已选	教学班	教师	周五上课时间	地点	学期段	考试时间	候选来源/页签
MATH1133G	微积分（乙）Ⅰ	数学科学学院	36	216	0~2	否	(2026-2027-1)-MATH1133G-0088056-1	李将云	周三第6,7,8节;周四第9节;周五第1,2节	紫金港东2-201;紫金港东2-101;紫金港东2-201	秋冬	2026年11月07日(14:00-16:00);2027年01月08日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
MATH1161GH	微积分Ⅰ（H）	数学科学学院	28	119	2~2	否	(2026-2027-1)-MATH1161GH-0085120-2	孟龙	周二第3,4,5节;周四第9节;周五第3,4节	紫金港东1A-303;紫金港东1A-303;紫金港东1A-303	秋冬	2026年11月07日(14:00-16:00);2027年01月08日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
MATH1261GH	线性代数Ⅰ（H）	数学科学学院	-1	100	0~0	否	(2026-2027-1)-MATH1261GH-0003325-1	谈之奕	周一第3,4,5节;周五第1节	紫金港东1A-303;紫金港东1A-303	秋冬	2027年01月10日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
MATH2432F	概率论与数理统计	-	1	239	0~14	否	(2026-2027-1)-MATH2432F-0005252-1	黄炜	周五第3,4,5节	紫金港西2-102	秋冬	2027年01月12日(10:30-12:30)	PDF培养方案 / 专业基础
MATH2432F	概率论与数理统计	-	160	238	0~7	否	(2026-2027-1)-MATH2432F-0083261-3	吴建军	周五第3,4,5节	紫金港西2-101	秋冬	2027年01月12日(10:30-12:30)	PDF培养方案 / 专业基础
MED0260G	医学史—医学的过去，现在和未来	公共卫生学院	27	84	16~511	否	(2026-2027-1)-MED0260G-0013077-3	杨芊	周五第3,4,5节	紫金港东1A-405	冬	待定	zdbk目录 / 通识选修-世界文明、通识选修-全部
MGMT0306G	创业启程	管理学院	9	250	0~0	否	(2026-2027-1)-MGMT0306G-0003173-2	周永广	周五第11,12,13节{单周}	紫金港东2-201	冬	2027年01月07日(18:30-20:30)	zdbk目录 / 通识选修-全部、通识选修-当代社会
MGMT0306G	创业启程	管理学院	0	250	0~0	否	(2026-2027-1)-MGMT0306G-0092153-2	施杰	周五第11,12,13节{单周}	紫金港东2-202	冬	2027年01月07日(18:30-20:30)	zdbk目录 / 通识选修-全部、通识选修-当代社会
OPT0701G	数码摄影技术	光电科学与工程学院	4	80	0~0	否	(2026-2027-1)-OPT0701G-0012385-1	吕玮阁	周四第7,8节;周五第11,12节	紫金港北3-316;紫金港北3-316	秋	待定	zdbk目录 / 通识选修-全部、通识选修-博雅技艺
OPT0701G	数码摄影技术	光电科学与工程学院	0	80	0~0	否	(2026-2027-1)-OPT0701G-0012385-2	吕玮阁、林磊	周三第11,12节;周五第11,12节	紫金港北3-316;紫金港北3-316	冬	待定	zdbk目录 / 通识选修-全部、通识选修-博雅技艺
PHY2001G	大学物理（甲）Ⅱ	物理学院	0	96	0~0	否	(2026-2027-1)-PHY2001G-0020096-1	王逸璞	周三第1,2节;周五第3,4节	紫金港西2-203;紫金港西2-203	秋冬	2026年11月14日(14:00-16:00);2027年01月09日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
PHY2001G	大学物理（甲）Ⅱ	物理学院	33	110	0~1	否	(2026-2027-1)-PHY2001G-0024014-1	胡仑辉	周三第3,4节;周五第1,2节	紫金港西2-203;紫金港西2-203	秋冬	2026年11月14日(14:00-16:00);2027年01月09日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
PHY2001G	大学物理（甲）Ⅱ	物理学院	22	96	0~0	否	(2026-2027-1)-PHY2001G-0024355-2	李运美	周三第1,2节;周五第3,4节	紫金港西2-217;紫金港西2-217	秋冬	2026年11月14日(14:00-16:00);2027年01月09日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
